// CXL Trace automatically generated
// Format: <R/W> <Address(hex)> <Time(us)> <CompressionRatio(%)>
// Parameters: 500 pages, 0.03 us avg interval, 10000 requests

R 0x47c76951c0 3.417 48.1
R 0x66b3c3f080 3.460 52.7
R 0x43b373f40 3.513 50.7
R 0x1277cc1380 3.678 55.0
R 0x66963d3880 3.689 49.1
R 0x375ca1ed80 3.713 46.5
R 0x65e2abaf00 3.714 50.9
R 0x651a448b80 3.726 54.1
R 0x1495374f80 3.730 49.0
R 0x1836331340 3.732 52.5
R 0x5ead39a140 3.778 45.2
R 0x6e79b3a280 3.816 51.4
R 0x7ac69f70c0 3.821 45.3
R 0x65d2084600 3.829 45.7
R 0x49ccee1300 3.831 49.8
R 0x599b887200 3.842 51.4
R 0x36852966c0 3.852 46.3
R 0x275ede580 3.930 46.4
R 0x3bbfdd0f80 3.940 46.7
R 0x79e31a9fc0 3.994 45.4
R 0x5507a3ad80 4.024 50.2
R 0x6a0706f880 4.096 53.1
R 0x43bfce13c0 4.158 54.8
R 0x475aa73c0 4.184 49.6
R 0x5378d85e40 4.237 52.4
R 0x103f6bc540 4.239 53.1
R 0x30fe113ec0 4.301 53.7
R 0x6144088d00 4.339 45.4
R 0x51bcbc8d40 4.391 52.1
R 0xca042c140 4.404 47.6
R 0x6a050a3ac0 4.453 47.1
R 0x27dc922500 4.455 52.4
R 0x6c91c64f40 4.508 52.8
R 0x36e4046280 4.568 51.4
R 0x47c7695d40 4.609 53.5
R 0x17b736ee40 4.611 54.3
R 0x3899db3240 4.719 54.4
R 0x7519220500 4.734 45.2
R 0x3e6a6cfec0 4.736 52.6
R 0x1141d80980 4.781 49.6
R 0x36aefc4900 4.791 50.1
R 0x3101795e00 4.797 53.2
R 0x2f3f1aebc0 4.800 55.0
R 0xeb1542780 4.813 54.6
R 0x647338c540 4.820 45.0
R 0x4bdf17cf00 4.847 45.4
R 0x7855e32180 4.857 54.2
R 0x2fba4f8540 4.869 54.2
R 0x12b7928780 4.985 45.3
R 0x704b86d480 5.076 49.3
R 0x557508f580 5.091 48.8
R 0x1fecb90400 5.098 52.0
R 0x6c2e58d940 5.101 47.1
R 0x17b4bca7c0 5.137 52.0
R 0x42f7f61600 5.146 46.2
R 0x707b25c6c0 5.205 51.6
R 0x63ade2a9c0 5.211 52.3
R 0x7b6ff7a5c0 5.256 51.8
R 0x5e04e30300 5.314 47.8
R 0x63ec2d5a00 5.351 47.4
R 0x4d1a2bfa80 5.361 49.0
R 0x375ca1ec40 5.369 52.9
R 0xa595c8cc0 5.390 46.5
R 0x27b86a5780 5.394 50.5
R 0x4625bb3840 5.477 45.2
R 0x4276ddf800 5.501 52.0
R 0x5abf100c00 5.537 52.9
R 0x1f16d3f700 5.610 48.9
R 0x68287cf00 5.616 47.3
R 0x10b2190280 5.726 46.3
R 0x6e0fcf66c0 5.739 53.5
R 0x41c921bf40 5.763 48.6
R 0x94da8e400 5.795 46.7
R 0x293b569900 5.797 54.6
R 0x58870bfc00 5.826 53.9
R 0x2af0bd33c0 5.842 50.8
R 0x1e2f393c80 5.855 51.0
R 0x5507a3a200 5.866 51.5
R 0x3552b983c0 5.870 47.3
R 0x551a9a2080 5.891 48.5
R 0x5378d85b80 5.894 50.7
R 0x1323197cc0 5.913 50.5
R 0x2f1d8b5f00 5.960 45.1
R 0x42eaefbf40 6.037 52.8
R 0x25df09f940 6.044 51.7
R 0x2482e32a00 6.091 53.9
R 0x43357406c0 6.110 49.6
R 0x41c921b500 6.137 46.9
R 0x4f34429dc0 6.173 53.1
R 0x65e2abac40 6.183 52.9
R 0x66963d3740 6.193 53.9
R 0x33eb82d7c0 6.214 45.9
R 0x2bfab56240 6.278 47.5
R 0x6210703800 6.298 49.3
R 0xf794b3a00 6.304 52.6
R 0x17fccea80 6.341 54.4
R 0x1ee4423040 6.355 53.7
R 0x1c98113a40 6.390 52.1
R 0x2d677056c0 6.442 45.5
R 0x3ea7152900 6.472 52.6
R 0x14155e0700 6.484 48.6
R 0x57ae0ff100 6.517 52.7
R 0x73492a5000 6.520 47.4
R 0x64d209c380 6.573 50.7
R 0x74b5d52e00 6.610 46.3
R 0x475aa7e00 6.659 46.4
R 0x2fba4f8c80 6.689 45.5
R 0x69d9c9eb80 6.726 45.7
R 0x5378d85440 6.799 53.0
R 0x28cbc7ff80 6.922 53.9
R 0x6b162e1c00 6.922 54.5
R 0x10b2190b40 6.984 47.5
R 0x78114adb80 7.006 54.6
R 0x738aa585c0 7.027 51.4
R 0x24fe9b1380 7.046 45.6
R 0x5203c28140 7.057 46.4
R 0x2910144e00 7.080 46.0
R 0x2fa8bb5c00 7.086 49.8
R 0x758ba161c0 7.093 52.5
R 0x1ee44232c0 7.103 53.6
R 0x43df23c140 7.124 45.4
R 0x6fab70640 7.127 52.7
R 0x4a12977600 7.134 47.4
R 0x2f1d8b5b80 7.160 48.9
R 0x4c17ec5ec0 7.200 53.5
R 0x6bd4a1d100 7.202 49.9
R 0x7d33692780 7.215 49.8
R 0x7bc7cbfe00 7.241 48.1
R 0x168221880 7.251 54.0
R 0xd837c9b80 7.273 48.0
R 0x33fa97c3c0 7.274 53.8
R 0x1b53700700 7.300 47.0
R 0x3ab0845280 7.347 46.3
R 0x653dfd0a00 7.359 52.4
R 0x403f21fc80 7.371 47.5
R 0x3a98ec0600 7.379 45.9
R 0x2d677056c0 7.438 52.0
R 0x601d941e00 7.444 49.2
R 0x3a2eaf7f00 7.626 50.6
R 0x4f6eb4cc00 7.627 52.9
R 0x727fb31d80 7.636 47.2
R 0x2f3f1aee40 7.671 47.7
R 0x68287cdc0 7.681 51.9
R 0x41c921b7c0 7.734 45.6
R 0x3a01ba7d40 7.793 49.8
R 0x6134e74b40 7.833 47.2
R 0x76790d86c0 7.850 52.8
R 0x19f3a4df40 7.851 52.9
R 0x1622aa6fc0 7.963 53.8
R 0x10e2c77280 7.983 53.2
R 0xe07f87e40 8.029 45.3
R 0x1cc6739040 8.054 48.8
R 0x34200d1480 8.127 51.0
R 0x719ff5ff80 8.159 53.2
R 0x2af0bd3380 8.165 48.3
R 0x3a33276940 8.187 47.2
R 0x7b6ff7a800 8.200 54.9
R 0x47c7695a00 8.245 46.6
R 0x2af0bd3b00 8.308 45.2
R 0x47406908c0 8.338 45.8
R 0x1eebec600 8.387 52.2
R 0x776ba0d840 8.407 46.7
R 0x3e39049f00 8.419 50.8
R 0x366fd2d780 8.502 51.3
R 0x302d235540 8.505 52.2
R 0x2572d6a300 8.517 53.8
R 0x4740690bc0 8.519 52.7
R 0x51c4748600 8.524 50.0
R 0x20493cea80 8.582 52.1
R 0x8a1542d40 8.594 50.8
R 0x39ceabdd00 8.604 48.1
R 0x7e4a3ed740 8.607 51.3
R 0x30ce408940 8.649 46.1
R 0x2eeae21ac0 8.661 53.0
R 0x3a62db2100 8.668 46.4
R 0x3552b984c0 8.668 53.8
R 0x42eaefb980 8.677 48.0
R 0x3a62db2f40 8.748 51.9
R 0x5abf100580 8.767 46.3
R 0x71ed86a000 8.787 53.2
R 0x7e4a3edd40 8.793 52.1
R 0x24fe9b1840 8.859 46.4
R 0x57ae0ff9c0 8.890 48.2
R 0x426e416440 8.918 48.7
R 0x6ee85c4140 8.952 53.5
R 0x3b968f0ac0 8.952 48.9
R 0x6b8515e000 9.003 46.5
R 0x767563a380 9.005 53.5
R 0x2d8f47bb80 9.047 51.0
R 0x6230357240 9.062 53.0
R 0x3b1129eec0 9.199 50.9
R 0x4c17ec5840 9.219 51.4
R 0x651a448040 9.235 46.9
R 0x175c283700 9.289 46.5
R 0x1277cc18c0 9.295 46.9
R 0x5383151f00 9.314 48.8
R 0xe7ecbee00 9.350 50.9
R 0x11f8fa5080 9.389 47.5
R 0x740bed5300 9.416 53.3
R 0x2fba4f85c0 9.499 47.3
R 0x6500496780 9.551 47.1
R 0x443c8fa0c0 9.579 45.7
R 0x1622aa6500 9.625 53.6
R 0x2b73db3a00 9.658 54.2
R 0x1b53700c80 9.717 49.1
R 0x4740690e00 9.727 47.7
R 0x14155e0dc0 9.755 52.0
R 0x216cb89e40 9.785 50.9
R 0xea14f0040 9.812 48.9
R 0x67959220c0 9.822 53.2
R 0x7819ab16c0 9.854 51.8
R 0x58870bf540 9.872 54.3
R 0x43acbbdcc0 9.894 49.3
R 0x4625bb3a40 9.938 45.2
R 0x7bc7cbf940 9.944 53.7
R 0x4bf0712040 9.952 52.2
R 0x727fb310c0 9.956 53.5
R 0x828f66ac0 10.032 52.1
R 0x6fb11191c0 10.102 46.5
R 0x1622aa6c40 10.131 50.8
R 0x5bb4bdd4c0 10.159 53.0
R 0x3c35762580 10.174 50.8
R 0x394ddd1700 10.176 53.1
R 0x4c1481e000 10.229 50.2
R 0x65a70f1340 10.269 54.4
R 0x6e0fcf6380 10.353 52.0
R 0x3182e5f9c0 10.391 48.5
R 0x1622aa6280 10.416 52.2
R 0x3fe55306c0 10.431 52.8
R 0x3a04053940 10.443 45.5
R 0x727fb314c0 10.502 46.2
R 0x716d876880 10.526 51.4
R 0x6e810ad940 10.532 50.8
R 0x6210703b80 10.560 54.4
R 0x67e8cec8c0 10.597 51.8
R 0x372f558480 10.610 47.7
R 0xb07bb6480 10.636 45.8
R 0x5cab941000 10.662 48.1
R 0x3a01ba70c0 10.690 53.7
R 0x5ed13ddf40 10.763 50.2
R 0x1893d16800 10.849 49.4
R 0x3d7d343980 10.899 53.8
R 0xc179a8e00 10.939 48.3
R 0x1eebec480 11.030 53.0
R 0x394ddd1ac0 11.044 49.2
R 0x6a8f363340 11.203 54.2
R 0x5e04e30000 11.265 45.5
R 0x3ea7152680 11.282 52.8
R 0x31646a6540 11.372 49.9
R 0x4c03e79140 11.401 51.8
R 0x5890972e80 11.472 53.1
R 0x767563a700 11.587 48.6
R 0x3fe5530340 11.593 54.4
R 0x6795922b40 11.614 46.0
R 0x43df23ca00 11.671 49.6
R 0x58a184d00 11.674 53.5
R 0x64d209cfc0 11.680 48.2
R 0x7e00c23a40 11.703 48.8
R 0x6a0eb15c40 11.743 45.5
R 0x55a4f57640 11.761 45.7
R 0x5c18091a80 11.763 50.4
R 0x5c00b52b80 11.773 46.1
R 0x5c26bd2c80 11.783 48.5
R 0x47e7f8d540 11.814 54.3
R 0x11f8fa5f40 11.828 49.9
R 0x4e8905c700 11.897 47.8
R 0x5419492500 11.909 52.2
R 0x3059901dc0 11.944 46.1
R 0x727fb313c0 11.960 46.9
R 0x3552b98e80 12.013 45.2
R 0x42f7f61f80 12.016 52.7
R 0x3a98ec0d40 12.091 47.0
R 0x5383151840 12.095 45.6
R 0x485d972f40 12.120 47.5
R 0x647338c8c0 12.150 51.7
R 0x1638258e40 12.154 48.9
R 0x7be58fb80 12.180 48.2
R 0x65e2abaf40 12.185 47.7
R 0x1622aa68c0 12.211 47.2
R 0x2fba4f87c0 12.262 47.3
R 0x7519220780 12.338 48.6
R 0x6ae4edfd80 12.338 48.6
R 0x3a33276ec0 12.349 51.7
R 0x6a0eb15a40 12.464 54.9
R 0x4e54883540 12.538 46.5
R 0x3acfe0cec0 12.550 53.3
R 0x19c55e7900 12.565 45.5
R 0x6b8515eac0 12.570 46.2
R 0xe0b43fb80 12.641 49.7
R 0x71dfc8b800 12.649 49.5
R 0x175c283d00 12.657 54.3
R 0x2f3f1aec40 12.674 53.1
R 0xf794b37c0 12.692 45.8
R 0x9ff8f1740 12.843 46.5
R 0x2ec0df8440 12.869 53.9
R 0x216cb893c0 12.871 48.2
R 0x3da167b6c0 12.883 46.3
R 0x1aadedb580 12.910 51.3
R 0x17745be900 12.955 54.2
R 0x7735c34600 13.017 45.3
R 0x7bc7cbfc00 13.032 51.2
R 0x3c07015a80 13.045 47.8
R 0xd837c9640 13.047 54.7
R 0x484489de80 13.084 51.9
R 0x3158dd2640 13.208 53.2
R 0x1277cc16c0 13.209 47.0
R 0x4d1a2bfe00 13.222 45.8
R 0x707b25c580 13.247 52.7
R 0x302d235d00 13.315 51.1
R 0x6651771600 13.333 52.9
R 0x96b60dd40 13.346 54.4
R 0x6422e78800 13.385 53.7
R 0x6e79b3a9c0 13.389 45.8
R 0xeb1542640 13.454 45.1
R 0x64d209c540 13.502 46.4
R 0x546d104e40 13.526 54.2
R 0x5383151540 13.565 55.0
R 0x67ad465540 13.631 50.3
R 0x16382588c0 13.694 50.1
R 0x4c1481ec80 13.779 46.3
R 0x5f0bae9f00 13.837 48.5
R 0x653dfd0140 13.912 47.5
R 0x3acfe0c4c0 13.968 54.4
R 0x57ae0ff8c0 13.973 48.8
R 0x4276ddf540 13.988 46.0
R 0x7b0b630ec0 14.000 50.0
R 0x16c3682bc0 14.033 48.1
R 0x33eb82d400 14.064 51.7
R 0x3acfe0ca80 14.067 45.4
R 0x6b162e1500 14.091 54.0
R 0x28b39fbdc0 14.130 53.3
R 0x5378d85b80 14.146 47.5
R 0x272bb5c940 14.199 48.9
R 0x4335740480 14.211 46.8
R 0x96b60d480 14.244 47.4
R 0x40c2ce8c0 14.280 52.4
R 0x175c283f80 14.298 48.3
R 0x76b70c4c80 14.316 51.9
R 0x9db8ad440 14.406 48.2
R 0x1f0cfcc340 14.470 49.4
R 0x9ff8f17c0 14.568 54.1
R 0x43acbbde00 14.586 45.5
R 0x14155e0880 14.597 46.9
R 0x29787489c0 14.685 54.8
R 0x1aadedb6c0 14.691 47.1
R 0x69b28155c0 14.730 49.3
R 0x1f16d3ff00 14.801 53.5
R 0x6fab70940 14.817 52.5
R 0x2ed111cb40 14.818 49.1
R 0x428af10900 14.870 50.5
R 0xea14f04c0 14.961 46.5
R 0x302d235f40 15.013 51.2
R 0x33eb82d700 15.064 48.2
R 0x13550e46c0 15.066 52.1
R 0xce005af00 15.069 48.8
R 0x12b7928a40 15.093 51.2
R 0x450ef8b940 15.110 51.1
R 0x619b2aeac0 15.118 45.3
R 0xa3455a840 15.155 49.2
R 0x2152f5ef40 15.203 46.4
R 0x74b5d52f80 15.218 52.7
R 0x6a0eb15fc0 15.219 47.5
R 0x65d2084380 15.234 55.0
R 0x3f38141200 15.313 53.7
R 0x7a9c9ab480 15.368 46.7
R 0x372f558600 15.386 53.5
R 0x248edfe240 15.389 51.4
R 0x9db8ad940 15.402 48.8
R 0x2b577af700 15.411 46.8
R 0x21b6ff3a40 15.444 48.5
R 0x475aa7040 15.547 54.6
R 0x4625bb3bc0 15.551 51.7
R 0xee80afdc0 15.650 52.9
R 0x55a4f57140 15.654 45.8
R 0x3182e5f1c0 15.661 48.3
R 0x16c36820c0 15.771 50.7
R 0x2482e323c0 15.795 49.8
R 0x3c98e5d140 15.864 54.7
R 0x7262677480 15.866 49.4
R 0x6330be33c0 15.950 45.6
R 0x6a0817ae80 15.952 54.9
R 0x759fe8dfc0 15.986 50.7
R 0x188c2d7100 15.997 47.0
R 0x43b373540 16.025 54.5
R 0x39ceabd640 16.042 53.3
R 0x3bbfdd0100 16.079 47.3
R 0x5176410780 16.080 54.3
R 0x55a4f57b80 16.106 47.0
R 0xdd520f200 16.127 49.6
R 0x1695c0d040 16.178 50.8
R 0x1c63dfea80 16.183 46.3
R 0x6b38dfcd00 16.246 45.4
R 0xf794b3340 16.256 46.1
R 0x6422e78d80 16.261 45.6
R 0x5358e6ec0 16.270 45.4
R 0x16382582c0 16.287 50.9
R 0x2152f5e440 16.303 51.4
R 0x36fb3bfa80 16.325 49.8
R 0x2e132d6880 16.363 51.3
R 0x24518d39c0 16.377 50.1
R 0x43acbbd540 16.450 51.2
R 0x5fc3cf7640 16.547 52.1
R 0x4740690800 16.641 50.4
R 0x3c07015800 16.644 47.6
R 0x539aa20700 16.650 51.1
R 0x710e27c440 16.651 52.3
R 0x6596437b80 16.669 52.5
R 0x3d9bdabd40 16.686 51.3
R 0x450ef8b9c0 16.692 54.0
R 0x6a0eb15b40 16.692 49.3
R 0x2ca15f8b80 16.711 54.5
R 0x1eebec940 16.734 48.1
R 0x42f7f61040 16.735 54.8
R 0x4ce0bbacc0 16.735 53.0
R 0x3552b980c0 16.754 53.6
R 0x271523a80 16.817 47.5
R 0x43acbbd6c0 16.865 53.1
R 0x2d8f47ba80 16.973 49.8
R 0x5abf1005c0 17.019 51.3
R 0x1aadedbc00 17.134 52.6
R 0x1a837d4a80 17.212 53.9
R 0x34e1405fc0 17.234 52.2
R 0x28b0c06c00 17.246 51.1
R 0x3af540b440 17.317 51.8
R 0x19f3a4da40 17.320 53.0
R 0x1f16d3fc00 17.328 50.8
R 0x248edfe7c0 17.362 46.0
R 0x4347f40800 17.379 46.4
R 0x1eebec6c0 17.394 54.8
R 0x4a3f70c3c0 17.411 53.6
R 0x5bd7a37f40 17.420 51.9
R 0x403f21fc80 17.425 54.7
R 0x4bdf17c180 17.461 50.4
R 0x1cc6739e00 17.486 51.2
R 0x4e7bdc1040 17.490 48.6
R 0x4625bb3000 17.509 51.2
R 0x31414e6bc0 17.541 49.7
R 0x539aa20a00 17.559 55.0
R 0x47c7695200 17.587 46.2
R 0x710e27cf00 17.658 49.6
R 0x2a9fc82940 17.686 48.4
R 0x23defd3980 17.701 45.5
R 0x216cb89940 17.721 52.3
R 0x7adbd94b00 17.773 54.1
R 0x727fb31640 17.775 46.4
R 0x69b87a3640 17.786 53.8
R 0x4c03e790c0 17.845 54.2
R 0x5034d16980 17.893 50.6
R 0x2482e32d40 17.896 50.0
R 0x619b2aef00 17.900 48.4
R 0x71dfc8b7c0 17.904 49.5
R 0x79e31a97c0 17.927 51.2
R 0x65e2aba8c0 18.012 46.2
R 0x393a4075c0 18.023 46.8
R 0x6596437e00 18.101 52.7
R 0x70da124c40 18.103 50.4
R 0x2e132d6ec0 18.120 48.4
R 0x46abc7f880 18.137 54.0
R 0x7809de180 18.141 51.7
R 0x36e4046840 18.161 54.1
R 0x27b86a5b00 18.183 48.4
R 0x1695c0d780 18.224 51.7
R 0x17745be7c0 18.234 46.2
R 0x4347f401c0 18.262 51.9
R 0xdd520fcc0 18.312 52.7
R 0x619b2aed00 18.345 48.3
R 0x1dafcccc0 18.424 50.5
R 0x6596437480 18.433 45.4
R 0x5bb4bdda40 18.480 46.4
R 0x54375ea300 18.542 48.7
R 0x443c8fa540 18.548 54.3
R 0x747dddf200 18.595 51.8
R 0x363bdfe280 18.618 49.9
R 0x70164ae0c0 18.684 53.4
R 0x17a0da5f00 18.749 51.5
R 0x65004967c0 18.791 46.0
R 0x6330be3ec0 18.796 49.4
R 0x4d1a2bf600 18.855 53.4
R 0x5b89c5c440 18.891 46.7
R 0x740bed5e00 18.892 47.9
R 0x79726ffe40 18.904 46.9
R 0x581b093500 18.915 53.5
R 0x4e5db9ce00 19.023 45.9
R 0x4f344295c0 19.041 51.6
R 0xd3085ba00 19.075 48.7
R 0x6640b800 19.181 52.8
R 0x216cb89940 19.204 52.6
R 0x443c8fa000 19.211 51.8
R 0x2fa8bb5c80 19.266 51.1
R 0x1b537004c0 19.350 51.2
R 0x4f34429f40 19.374 49.0
R 0x2fbf6f1300 19.392 53.9
R 0x168221e40 19.432 48.8
R 0x14953745c0 19.433 51.0
R 0x5fc3cf7700 19.552 46.9
R 0x29bd509f80 19.566 53.1
R 0x5c18091440 19.577 52.2
R 0x6258fd2400 19.590 50.0
R 0x63ec2d59c0 19.595 51.0
R 0x651a4485c0 19.617 50.8
R 0x2fba4f8980 19.647 51.4
R 0x36852968c0 19.723 49.1
R 0x6a0706fb00 19.728 45.4
R 0x6e810ada40 19.734 46.1
R 0x7adbd94400 19.737 53.0
R 0x8fcd3cd80 19.765 45.8
R 0x136445e800 19.789 46.5
R 0x4eee6457c0 19.798 54.8
R 0x51c4748f40 19.858 48.5
R 0x175c283fc0 19.879 45.9
R 0x43bfce1700 19.881 52.0
R 0x79e31a9fc0 19.892 46.3
R 0x710e27cd00 19.897 53.6
R 0x6d1c0fedc0 19.916 49.5
R 0x7bc7cbf3c0 20.005 51.3
R 0x76b455bec0 20.005 45.6
R 0x3d7d3431c0 20.016 46.3
R 0x7831c61d80 20.029 50.9
R 0x1277cc1100 20.086 49.5
R 0x484489d400 20.096 51.8
R 0x302d2351c0 20.102 50.9
R 0x7b0b630cc0 20.137 49.6
R 0x7ebfd54040 20.165 52.7
R 0x5bd7a37b00 20.201 51.4
R 0x249df8ea40 20.205 53.8
R 0x3059901900 20.240 49.1
R 0x248edfeb00 20.293 47.3
R 0x2d67705dc0 20.360 50.9
R 0x13550e4600 20.389 53.8
R 0x17745be840 20.448 51.9
R 0x8a1542980 20.596 47.5
R 0x617b23ff40 20.597 46.4
R 0x7c367e6e80 20.639 49.7
R 0x333389ea40 20.649 50.8
R 0x14cc2a6380 20.703 52.0
R 0x65d2084980 20.713 47.4
R 0x7855e32440 20.733 52.6
R 0x75ff746c00 20.741 46.7
R 0x572282f740 20.753 46.4
R 0x46ade4fe40 20.754 45.7
R 0x4b6fedb880 20.818 53.5
R 0x2152f5e780 20.844 47.6
R 0x6a0817a180 20.878 46.0
R 0x440b986c0 20.886 49.9
R 0x76c18b1340 20.953 46.6
R 0xa3455a9c0 21.005 54.1
R 0x5f10f44b80 21.009 50.7
R 0x25e2541500 21.028 51.1
R 0x6210703ec0 21.031 54.1
R 0x55f380100 21.063 47.9
R 0x5cab941fc0 21.089 45.2
R 0x7adbd94fc0 21.092 49.8
R 0x46ade4f0c0 21.094 45.1
R 0x6795922b00 21.106 51.9
R 0x1323197080 21.146 47.2
R 0x6b2b256800 21.176 53.0
R 0x2b66ce2600 21.200 46.0
R 0x3a332768c0 21.230 51.3
R 0x2d67705e00 21.238 54.2
R 0x6b38dfc500 21.247 46.7
R 0x44c71e19c0 21.261 47.1
R 0x3bbfdd0280 21.274 45.4
R 0x42a7a2f200 21.296 55.0
R 0x7831c612c0 21.309 52.8
R 0x6b162e1c40 21.321 45.7
R 0x3059901200 21.321 45.2
R 0x5358e6040 21.369 50.1
R 0x428af10900 21.425 53.9
R 0x1dafccb00 21.428 45.5
R 0x17b4bca280 21.498 53.2
R 0x3158dd2440 21.502 47.2
R 0x302d235180 21.536 45.3
R 0x2d8f47ba80 21.564 53.0
R 0x484489d300 21.654 48.2
R 0xd3085b940 21.673 51.8
R 0x6d10734140 21.677 49.0
R 0x36e4046680 21.716 45.4
R 0x4ac024ff80 21.758 46.5
R 0x1aadedb380 21.785 45.4
R 0x465f27d600 21.801 46.1
R 0x5034d16b40 21.829 47.0
R 0x31414e6dc0 21.844 46.3
R 0x79b9a43940 21.898 48.6
R 0x6e810ad100 21.931 54.5
R 0x4ac024fb00 21.966 54.9
R 0xe2d377980 21.971 46.4
R 0x17055f6e80 21.987 47.8
R 0x19f3a4d440 21.996 50.4
R 0x46abc7f340 22.049 45.8
R 0xca042cd00 22.049 52.9
R 0x6b38dfc540 22.174 48.2
R 0x6a0817ab00 22.192 50.0
R 0x1638258f80 22.202 46.9
R 0x2978748340 22.296 53.4
R 0x76b455b840 22.315 50.6
R 0x188c2d7500 22.364 51.0
R 0x5654eb4880 22.373 51.8
R 0x1cc67397c0 22.406 48.5
R 0xa3455a7c0 22.445 51.1
R 0x2af0bd35c0 22.453 54.8
R 0x4c17ec5880 22.456 46.2
R 0x1bb4caecc0 22.469 48.6
R 0x1836331e40 22.477 52.3
